pattern_name,source_file,source_budget,source_pattern_name,ori_idx,target_orientation_deg,start_timing_index,n_trials,steps_str
501004,generated_pattern_registration_4budget_600ms.pkl,4,504,4,90.0,22,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [5]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [6]ch77:dm1;ch87:dm-1;ch88:dm0 | [7] | [8] | [9]
501007,generated_pattern_registration_4budget_600ms.pkl,4,507,7,157.5,23,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch36:dm0;ch77:dm2;ch83:dm2;ch93:dm-1 | [4]ch3:dm1;ch9:dm2;ch57:dm2;ch65:dm2 | [5]ch8:dm1;ch9:dm-1 | [6] | [7] | [8] | [9]
501005,generated_pattern_registration_4budget_600ms.pkl,4,505,5,112.5,24,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [5]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [6]ch25:dm-1;ch36:dm2;ch71:dm-1;ch74:dm2 | [7]ch14:dm1;ch47:dm2;ch66:dm-1 | [8] | [9]
501014,generated_pattern_registration_4budget_600ms.pkl,4,5014,14,315.0,25,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch54:dm-1;ch85:dm0 | [5] | [6] | [7] | [8] | [9]
501012,generated_pattern_registration_4budget_600ms.pkl,4,5012,12,270.0,26,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [5]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [6]ch52:dm-1;ch72:dm0;ch77:dm2;ch79:dm-1 | [7] | [8] | [9]
501006,generated_pattern_registration_4budget_600ms.pkl,4,506,6,135.0,27,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch90:dm-1 | [1]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [4]ch5:dm0;ch8:dm-1;ch69:dm-1;ch83:dm2 | [5]ch5:dm0;ch8:dm-1 | [6] | [7] | [8] | [9]
501009,generated_pattern_registration_4budget_600ms.pkl,4,509,9,202.5,28,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [2]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [3]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [4]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [5]ch20:dm-1;ch36:dm2;ch77:dm2;ch93:dm2 | [6]ch9:dm1;ch57:dm2;ch65:dm1;ch66:dm-1 | [7]ch65:dm1;ch66:dm-1 | [8]ch65:dm1;ch66:dm-1 | [9]ch65:dm1;ch66:dm-1
501013,generated_pattern_registration_4budget_600ms.pkl,4,5013,13,292.5,29,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [5]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [6]ch14:dm0;ch72:dm2 | [7] | [8] | [9]
501008,generated_pattern_registration_4budget_600ms.pkl,4,508,8,180.0,30,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch36:dm0;ch77:dm2;ch83:dm2;ch93:dm-1 | [4]ch19:dm-1;ch36:dm2;ch57:dm1;ch74:dm2 | [5]ch5:dm1;ch57:dm2;ch65:dm2;ch66:dm-1 | [6]ch1:dm2;ch19:dm0;ch71:dm-1;ch92:dm2 | [7] | [8] | [9]
501001,generated_pattern_registration_4budget_600ms.pkl,4,501,1,22.5,31,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch74:dm-1;ch77:dm2;ch83:dm2 | [4]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [5]ch36:dm1;ch57:dm2;ch65:dm2;ch66:dm-1 | [6]ch9:dm1;ch57:dm2;ch65:dm1;ch66:dm-1 | [7]ch65:dm1;ch66:dm-1 | [8]ch66:dm-1;ch71:dm1 | [9]ch1:dm-1;ch58:dm1;ch84:dm-1
501015,generated_pattern_registration_4budget_600ms.pkl,4,5015,15,337.5,32,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch77:dm2;ch83:dm2;ch89:dm-1 | [3]ch20:dm-1;ch36:dm2;ch77:dm2;ch93:dm2 | [4]ch5:dm1;ch57:dm2;ch65:dm2;ch66:dm-1 | [5]ch1:dm-1;ch52:dm-1;ch58:dm1;ch66:dm-1 | [6] | [7] | [8] | [9]
502002,generated_pattern_registration_6budget_600ms.pkl,6,502,2,45.0,33,1,[0]ch8:dm-1;ch9:dm0;ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch9:dm0;ch36:dm0;ch69:dm-1;ch74:dm1;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch47:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch47:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch19:dm-1;ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [5]ch36:dm2;ch57:dm2;ch66:dm-1;ch74:dm0;ch90:dm-1;ch93:dm2 | [6]ch9:dm1;ch14:dm0;ch57:dm2;ch65:dm1;ch66:dm-1;ch71:dm-1 | [7]ch65:dm1;ch66:dm-1 | [8]ch58:dm1;ch71:dm-1 | [9]
