run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0020_history=5,cnn,0.17191111516952515,0.21476269935895176,0.21291361585140942,217151,217151,42,0.6548829053316665,0.47275709111471625,0.4278766634073172,14,0.3815135061740875,0.22033311426639557,1,trial_0020_history=5,completed,[5],0.0,[256],5
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0021_history=6,cnn,0.1724760775566101,0.21115734823182655,0.20852483199065036,217151,217151,38,0.645763698046864,0.47275709111471625,0.41699242479200577,15,0.3815135061740875,0.21609795093536377,1,trial_0021_history=6,completed,[5],0.0,[256],6
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0022_history=10,cnn,0.17281911325454713,0.2116976344359571,0.21321928167297816,217151,217151,44,0.6367684965076866,0.47275709111471625,0.4120106219056588,11,0.3815135061740875,0.21672116219997406,1,trial_0022_history=10,completed,[5],0.0,[256],10
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0023_history=20,cnn,0.17249543261528016,0.21926239516393894,0.22168174488856826,217151,217151,50,0.6143338938110099,0.47275709111471625,0.4001362953127169,10,0.3815135061740875,0.22437581419944763,0,trial_0023_history=20,completed,[5],0.0,[256],20
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0024_history=1,cnn,0.16065375590324402,0.2867768395950007,0.29360625720184186,217151,217151,41,0.7673830942904192,0.47275709111471625,0.6219771865128986,53,0.3815135061740875,0.29682502150535583,5,trial_0024_history=1,completed,[5],0.0001,[256],1
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0025_history=2,cnn,0.16197865629196168,0.2821166778277139,0.29093120831849395,217151,217151,42,0.7620255089758143,0.47275709111471625,0.6197628254573717,56,0.3815135061740875,0.29249387979507446,4,trial_0025_history=2,completed,[5],0.0001,[256],2
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0026_history=3,cnn,0.16762698471546172,0.24431282524699477,0.24421951452279933,217151,217151,50,0.7146885070020732,0.47275709111471625,0.5131189919369213,34,0.3815135061740875,0.2516244947910309,2,trial_0026_history=3,completed,[5],0.0001,[256],3
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0027_history=4,cnn,0.16948818469047547,0.2318251612544026,0.23478027123270034,217151,217151,46,0.6875158903736343,0.47275709111471625,0.49727371970738915,31,0.3815135061740875,0.2391965091228485,1,trial_0027_history=4,completed,[5],0.0001,[256],4
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0028_history=5,cnn,0.17201398956775665,0.21416557252000706,0.21413108866701958,217151,217151,44,0.6592990026296378,0.47275709111471625,0.43191172682028245,19,0.3815135061740875,0.2196960300207138,1,trial_0028_history=5,completed,[5],0.0001,[256],5
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0029_history=6,cnn,0.17238038992881774,0.21118357234618026,0.20941321985025296,217151,217151,43,0.6643591707106851,0.47275709111471625,0.4311090588596202,17,0.3815135061740875,0.21649515628814697,1,trial_0029_history=6,completed,[5],0.0001,[256],6
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0030_history=10,cnn,0.1725208259820938,0.21450372864610845,0.21270547715821053,217151,217151,46,0.6419645633258394,0.47275709111471625,0.4116957163791451,11,0.3815135061740875,0.21960067749023438,1,trial_0030_history=10,completed,[5],0.0001,[256],10
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0031_history=20,cnn,0.17261592817306518,0.21879935039937326,0.2208891560244576,217151,217151,50,0.6126642568857393,0.47275709111471625,0.3980890263119323,8,0.3815135061740875,0.2237720787525177,0,trial_0031_history=20,completed,[5],0.0001,[256],20
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0032_history=1,cnn,0.16093379068374633,0.28346771731898124,0.28969900018487715,351551,351551,37,0.7565560951759156,0.47275709111471625,0.6186763288393587,53,0.3815135061740875,0.2940506041049957,6,trial_0032_history=1,completed,[10],0.0,[256],1
