model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels,sweep_name
cnn,0.161519025683403,0.3594190121415686,0.3650126346545485,89919,89919,50,0.7282691178498986,0.4727570911147162,0.5659518881273597,47,trial_0067_learning_rate=0.01,completed,[3],0.01,0.0001,[128],base_cnn_kernel_sweep
cnn,0.16255393242836,0.3530986173930792,0.3583206496059201,163391,163391,26,0.7273235149048654,0.4727570911147162,0.5641489433750211,47,trial_0068_learning_rate=0.01,completed,[3],0.01,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1622319782972335,0.3533428806853205,0.3580963007796929,53183,53183,50,0.6994884797054337,0.4727570911147162,0.543237756892588,43,trial_0069_learning_rate=0.01,completed,[3],0.01,0.001,[64],base_cnn_kernel_sweep
cnn,0.1615544028282165,0.3608265668589636,0.3640097531258188,89919,89919,48,0.724801715518298,0.4727570911147162,0.5657447035786701,46,trial_0070_learning_rate=0.01,completed,[3],0.01,0.001,[128],base_cnn_kernel_sweep
cnn,0.1621816321611404,0.358529517351814,0.3638830794315222,163391,163391,50,0.7468251677597258,0.4727570911147162,0.5780221324461029,50,trial_0071_learning_rate=0.01,completed,[3],0.01,0.001,[256],base_cnn_kernel_sweep
cnn,0.1685807170867919,0.3153045840759133,0.3207868525283942,66623,66623,50,0.6535500798399456,0.4727570911147162,0.5567893706297136,43,trial_0072_learning_rate=1.0e-04,completed,[5],0.0001,0.0,[64],base_cnn_kernel_sweep
cnn,0.1653969764709472,0.3348864282409328,0.3407597424393915,116799,116799,50,0.693080762219227,0.4727570911147162,0.5877850864049463,49,trial_0073_learning_rate=1.0e-04,completed,[5],0.0001,0.0,[128],base_cnn_kernel_sweep
cnn,0.163405708193779,0.3476908654556831,0.3535321105616821,217151,217151,50,0.7361140662426595,0.4727570911147162,0.6218150642368532,52,trial_0074_learning_rate=1.0e-04,completed,[5],0.0001,0.0,[256],base_cnn_kernel_sweep
cnn,0.1682287893295288,0.3160851032182435,0.3219024403090762,66623,66623,50,0.6484133069003368,0.4727570911147162,0.5515219270097788,42,trial_0075_learning_rate=1.0e-04,completed,[5],0.0001,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1656849237680435,0.3344354349962531,0.3402017635550673,116799,116799,50,0.6976101044010157,0.4727570911147162,0.590692043806789,50,trial_0076_learning_rate=1.0e-04,completed,[5],0.0001,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1631006721258163,0.3504183310625689,0.3544644219579553,217151,217151,50,0.7363723899911272,0.4727570911147162,0.6247874678922135,52,trial_0077_learning_rate=1.0e-04,completed,[5],0.0001,1e-05,[256],base_cnn_kernel_sweep
cnn,0.1680973345041275,0.3174385296396281,0.3234996500009819,66623,66623,50,0.6528411319582734,0.4727570911147162,0.5503149142347153,42,trial_0078_learning_rate=1.0e-04,completed,[5],0.0001,0.0001,[64],base_cnn_kernel_sweep
cnn,0.1655534867048263,0.3354655021403603,0.3415892685764054,116799,116799,50,0.7002696230558528,0.4727570911147162,0.5949962820698841,51,trial_0079_learning_rate=1.0e-04,completed,[5],0.0001,0.0001,[128],base_cnn_kernel_sweep
cnn,0.1631166145801544,0.3493390222106379,0.3547129165488586,217151,217151,50,0.7339613045834246,0.4727570911147162,0.6209955982987556,54,trial_0080_learning_rate=1.0e-04,completed,[5],0.0001,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1684982694387436,0.3149966236113348,0.3207935037013663,66623,66623,50,0.6482841098317627,0.4727570911147162,0.5521948922900405,43,trial_0081_learning_rate=1.0e-04,completed,[5],0.0001,0.001,[64],base_cnn_kernel_sweep
cnn,0.1655526390075683,0.3349857873395955,0.3395644911924672,116799,116799,50,0.698057655413261,0.4727570911147162,0.5936992602368903,50,trial_0082_learning_rate=1.0e-04,completed,[5],0.0001,0.001,[128],base_cnn_kernel_sweep
cnn,0.1633509298563003,0.346951840272131,0.3536120858886463,217151,217151,50,0.7316005129671452,0.4727570911147162,0.6201656412664643,53,trial_0083_learning_rate=1.0e-04,completed,[5],0.0001,0.001,[256],base_cnn_kernel_sweep
cnn,0.1630663493871688,0.3468369639428886,0.3519042547938756,66623,66623,50,0.6997061430789647,0.4727570911147162,0.5677115604038566,47,trial_0084_learning_rate=1.0e-03,completed,[5],0.001,0.0,[64],base_cnn_kernel_sweep
cnn,0.1613992028236389,0.3600719536662741,0.3639666185510752,116799,116799,50,0.7428502893837082,0.4727570911147162,0.6013040547215857,52,trial_0085_learning_rate=1.0e-03,completed,[5],0.001,0.0,[128],base_cnn_kernel_sweep
cnn,0.1611080973148346,0.3635592721276511,0.3678832393009216,217151,217151,43,0.7641130718228296,0.4727570911147162,0.6234648711464533,54,trial_0086_learning_rate=1.0e-03,completed,[5],0.001,0.0,[256],base_cnn_kernel_sweep
cnn,0.1629572068452835,0.3476483495097768,0.3530750326480218,66623,66623,50,0.7037288532393977,0.4727570911147162,0.5681681129865009,48,trial_0087_learning_rate=1.0e-03,completed,[5],0.001,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1616001361608505,0.3594018388788977,0.3644126907813098,116799,116799,50,0.7386475676940066,0.4727570911147162,0.5998255405388306,52,trial_0088_learning_rate=1.0e-03,completed,[5],0.001,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1613615447282791,0.3629955927523466,0.3664026617270836,217151,217151,47,0.7677176262548212,0.4727570911147162,0.6244066130036126,55,trial_0089_learning_rate=1.0e-03,completed,[5],0.001,1e-05,[256],base_cnn_kernel_sweep
cnn,0.1631184674501419,0.3459380803769169,0.3513269236844515,66623,66623,50,0.6963805064160247,0.4727570911147162,0.5611667481445303,47,trial_0090_learning_rate=1.0e-03,completed,[5],0.001,0.0001,[64],base_cnn_kernel_sweep
