config_id,best_val_loss_mean,best_val_loss_sem,best_val_loss_count,best_val_corr_mean,best_val_corr_sem,best_val_corr_count,best_epoch_mean,best_epoch_sem,best_epoch_count,test_loss_mean,test_loss_sem,test_loss_count,test_corr_mean,test_corr_sem,test_corr_count,n_params_mean,n_params_sem,n_params_count,n_train_mean,n_train_sem,n_train_count,n_val_mean,n_val_sem,n_val_count,n_test_mean,n_test_sem,n_test_count,n_epochs_run_mean,n_epochs_run_sem,n_epochs_run_count,train_seconds_mean,train_seconds_sem,train_seconds_count,seed_mean,seed_sem,seed_count,wall_time_s_mean,wall_time_s_sem,wall_time_s_count,gpu_id_mean,gpu_id_sem,gpu_id_count
0009c4197f,0.17028296023607253,4.7544737656918246e-05,2,0.24506967632866328,0.00284602612655957,2,50.0,0.0,2,0.1766709259748459,0.0002895809412002612,2,0.21269912021541698,0.0020108123878569764,2,1302079.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,7.8,0.0,2,0.5,0.5,2,8.649999999999999,0.050000000000000266,2,0.5,0.5,2
049c7d8b8e,0.16762199809153874,0.000385083059469854,2,0.2645322543531159,0.0005909893822802492,2,50.0,0.0,2,0.17450412154197692,4.521548748017551e-05,2,0.22888919015498832,6.014641408941257e-05,2,1752127.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,8.2,0.10000000000000009,2,0.5,0.5,2,9.0,0.09999999999999964,2,0.5,0.5,2
04c32e98aa,0.19233841915925343,0.00020093242327372945,2,0.12533355602340224,0.0030648180233462663,2,14.0,0.0,2,0.19371347707509995,0.00013292855024338301,2,0.10793537576709411,0.0014559050987415535,2,1261119.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,17.0,0.0,2,3.05,0.04999999999999993,2,0.5,0.5,2,3.8499999999999996,0.04999999999999993,2,0.5,0.5,2
06928982fb,0.18496459881464639,0.006621134678522746,2,0.1645676277985072,0.04139949925543826,2,29.0,11.0,2,0.1875892641544342,0.004329867839813234,2,0.14235475568690759,0.030740232449838787,2,3765311.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,32.0,11.0,2,7.1000000000000005,2.2,2,0.5,0.5,2,7.949999999999999,2.15,2,0.5,0.5,2
08d327bc33,0.19101099371910096,0.0005396294593811024,2,0.1249123682004311,0.00038633551877335914,2,12.0,0.0,2,0.19180737334489822,2.901095151901928e-05,2,0.11049808098115632,0.0008528057462323657,2,705343.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,15.0,0.0,2,2.5,0.0,2,0.5,0.5,2,3.3,0.0,2,0.5,0.5,2
0920147f61,0.1905406571427981,0.00012802412112553063,2,0.1316879414040067,0.004221053092562793,2,23.0,2.0,2,0.19115775567293167,0.00022776132822036055,2,0.11456399949361226,0.0020350800984877022,2,2453055.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,26.0,2.0,2,5.1,0.40000000000000013,2,0.5,0.5,2,5.9,0.3999999999999997,2,0.5,0.5,2
09846ccb50,0.1695785238345464,0.0006607202688852856,2,0.2497833466502422,0.0001172109424570078,2,50.0,0.0,2,0.17574566918611528,0.00029513591527938893,2,0.2182800729213727,0.0007045759763983708,2,1261119.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,7.85,0.050000000000000044,2,0.5,0.5,2,8.7,0.10000000000000009,2,0.5,0.5,2
0c30de13ac,0.18616154193878173,0.00021473348140715887,2,0.17397683880502784,0.0014558006923291525,2,50.0,0.0,2,0.1881936451792717,0.0001348395943641667,2,0.15160055425632696,0.0015017227303835146,2,433727.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,6.199999999999999,0.10000000000000031,2,0.5,0.5,2,7.0,0.09999999999999964,2,0.5,0.5,2
0c332e6fc7,0.2356988380352656,0.0009873958428700605,2,0.055215103895505914,0.0030270501390423227,2,5.5,0.5,2,0.23550359481573105,0.001395402252674094,2,0.05384137174576118,0.002497575082516308,2,2049087.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,8.5,0.5,2,1.95,0.050000000000000044,2,0.5,0.5,2,2.75,0.04999999999999982,2,0.5,0.5,2
0caec2382d,0.18361765732367832,0.0005221314231554641,2,0.16933737968262297,0.0003274663698878688,2,50.0,0.0,2,0.18610734879970553,0.00015840113162993857,2,0.148202327059362,0.00044020343204648205,2,1024319.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,6.85,0.050000000000000044,2,0.5,0.5,2,7.6,0.09999999999999987,2,0.5,0.5,2
