model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history,sweep_name
cnn,0.1700032515525817,0.2295611632887166,0.2326830325253847,163391,163391,37,0.6890595716271283,0.4727570911147162,0.5032035152703423,33,0.3815135061740875,0.2366804182529449,1,trial_0010_history=4,completed,[3],0.0001,[256],4,hist_cnn_initstate_v3
cnn,0.172745531797409,0.212133514621613,0.2105838034911976,163391,163391,44,0.6720145523589393,0.4727570911147162,0.4436260792905032,18,0.3815135061740875,0.2170864939689636,1,trial_0011_history=5,completed,[3],0.0001,[256],5,hist_cnn_initstate_v3
cnn,0.1738619946241378,0.2076737780447475,0.2041981740424287,163391,163391,47,0.6448907346702054,0.4727570911147162,0.4199801765993925,12,0.3815135061740875,0.2128884941339492,1,trial_0012_history=10,completed,[3],0.0001,[256],10,hist_cnn_initstate_v3
cnn,0.1746671124696731,0.2035691358268768,0.2011863444513808,163391,163391,43,0.6239839134516081,0.4727570911147162,0.4111983129144026,13,0.3815135061740875,0.2086070030927658,1,trial_0013_history=20,completed,[3],0.0001,[256],20,hist_cnn_initstate_v3
cnn,0.160585756778717,0.2874294929201907,0.2929136947174324,217151,217151,45,0.7667694796953922,0.4727570911147162,0.6212640410726705,55,0.3815135061740875,0.2970884144306183,6,trial_0014_history=1,completed,[5],0.0,[256],1,hist_cnn_initstate_v3
cnn,0.1623460381031036,0.2794398692501457,0.286927341266483,217151,217151,39,0.756834850505068,0.4727570911147162,0.6180105242199232,55,0.3815135061740875,0.2890818119049072,4,trial_0015_history=2,completed,[5],0.0,[256],2,hist_cnn_initstate_v3
cnn,0.1680112228393554,0.2426392425275841,0.2430981426181724,217151,217151,47,0.7008592133719945,0.4727570911147162,0.504907202424589,32,0.3815135061740875,0.2498773783445358,2,trial_0016_history=3,completed,[5],0.0,[256],3,hist_cnn_initstate_v3
cnn,0.1694313715696334,0.2311066978849915,0.2345350202512617,217151,217151,30,0.689618282828471,0.4727570911147162,0.5032432255297894,32,0.3815135061740875,0.2384996712207794,1,trial_0017_history=4,completed,[5],0.0,[256],4,hist_cnn_initstate_v3
cnn,0.1720741912126541,0.2155451862268755,0.2120129094359538,217151,217151,45,0.6685080064569261,0.4727570911147162,0.4381118260855351,17,0.3815135061740875,0.2208004891872406,1,trial_0018_history=5,completed,[5],0.0,[256],5,hist_cnn_initstate_v3
cnn,0.1729924199581146,0.208014507633886,0.2105350778514552,217151,217151,37,0.6486221838511564,0.4727570911147162,0.4270605763735938,14,0.3815135061740875,0.2140831053256988,1,trial_0019_history=10,completed,[5],0.0,[256],10,hist_cnn_initstate_v3
cnn,0.1746936681270599,0.2007771552512474,0.2019002067260225,217151,217151,34,0.6077376771381202,0.4727570911147162,0.4143239684280167,13,0.3815135061740875,0.2069567590951919,1,trial_0020_history=20,completed,[5],0.0,[256],20,hist_cnn_initstate_v3
cnn,0.160653067946434,0.286452608070928,0.2930138149834004,217151,217151,42,0.7576296458139979,0.4727570911147162,0.6163607987724669,52,0.3815135061740875,0.2960692048072815,6,trial_0021_history=1,completed,[5],0.0001,[256],1,hist_cnn_initstate_v3
cnn,0.1622397699356079,0.2819774959902231,0.2897509456363534,217151,217151,49,0.7676992541050546,0.4727570911147162,0.6191577386927073,56,0.3815135061740875,0.2918680608272552,4,trial_0022_history=2,completed,[5],0.0001,[256],2,hist_cnn_initstate_v3
cnn,0.1683916139602661,0.2413640690763093,0.2439730453854585,217151,217151,50,0.6994966895637215,0.4727570911147162,0.5021782907166807,35,0.3815135061740875,0.2483509927988052,2,trial_0023_history=3,completed,[5],0.0001,[256],3,hist_cnn_initstate_v3
cnn,0.1692924796342849,0.2345255074435622,0.2357462036429717,217151,217151,48,0.6987236524103063,0.4727570911147162,0.5052397206161391,33,0.3815135061740875,0.2420880645513534,1,trial_0024_history=4,completed,[5],0.0001,[256],4,hist_cnn_initstate_v3
cnn,0.1716337130069732,0.2156790172850294,0.2147077184253724,217151,217151,40,0.6617745425874098,0.4727570911147162,0.4347637582921037,18,0.3815135061740875,0.2216356545686721,1,trial_0025_history=5,completed,[5],0.0001,[256],5,hist_cnn_initstate_v3
cnn,0.173112564921379,0.2073425990197024,0.2100972345775999,217151,217151,43,0.6353026910365519,0.4727570911147162,0.4194374350402088,13,0.3815135061740875,0.2132920324802398,1,trial_0026_history=10,completed,[5],0.0001,[256],10,hist_cnn_initstate_v3
cnn,0.1746693608760833,0.2013647876321329,0.2018865732421383,217151,217151,41,0.6084007825228929,0.4727570911147162,0.4123823606374018,11,0.3815135061740875,0.2074648737907409,1,trial_0027_history=20,completed,[5],0.0001,[256],20,hist_cnn_initstate_v3
cnn,0.1610088737010955,0.2824547274672573,0.2895276776450777,351551,351551,33,0.7446602471052173,0.4727570911147162,0.6143934782434626,54,0.3815135061740875,0.2932721674442291,6,trial_0028_history=1,completed,[10],0.0,[256],1,hist_cnn_initstate_v3
cnn,0.1628684239387512,0.2734576092654227,0.2814436391953041,351551,351551,35,0.7508431640378312,0.4727570911147162,0.6176527356199655,55,0.3815135061740875,0.2839052379131317,4,trial_0029_history=2,completed,[10],0.0,[256],2,hist_cnn_initstate_v3
cnn,0.1687060101032257,0.2344542618649827,0.2380064807972244,351551,351551,38,0.6721325143164933,0.4727570911147162,0.4992616542995733,30,0.3815135061740875,0.2432135790586471,2,trial_0030_history=3,completed,[10],0.0,[256],3,hist_cnn_initstate_v3
