run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0033_learning_rate=0.01,cnn,0.17861744379997255,0.25829264399355956,0.2545351907531088,39743,39743,50,0.6475352798133489,0.47275709111471625,0.4384438414905835,22,trial_0033_learning_rate=0.01,completed,[1],0.01,0.001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0034_learning_rate=0.01,cnn,0.17858243656158448,0.2581850668274106,0.2561943955158114,63039,63039,50,0.6431353678884725,0.47275709111471625,0.44409556251580373,24,trial_0034_learning_rate=0.01,completed,[1],0.01,0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0035_learning_rate=0.01,cnn,0.1789406601190567,0.2578797021211627,0.25538441943092427,109631,109631,50,0.6554728375141845,0.47275709111471625,0.45342764764266097,26,trial_0035_learning_rate=0.01,completed,[1],0.01,0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0036_learning_rate=1.0e-04,cnn,0.16884237098693847,0.3132636634509159,0.3184648930360976,53183,53183,50,0.6381749768370765,0.47275709111471625,0.5378612841857981,40,trial_0036_learning_rate=1.0e-04,completed,[3],0.0001,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0037_learning_rate=1.0e-04,cnn,0.16547216510772705,0.3344507120315982,0.3409525718483723,89919,89919,50,0.699034245462449,0.47275709111471625,0.5885089933144696,50,trial_0037_learning_rate=1.0e-04,completed,[3],0.0001,0.0,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0038_learning_rate=1.0e-04,cnn,0.16355894541740418,0.34786803148214007,0.3538823686944,163391,163391,50,0.7253174842565193,0.47275709111471625,0.6086493900932407,53,trial_0038_learning_rate=1.0e-04,completed,[3],0.0001,0.0,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0039_learning_rate=1.0e-04,cnn,0.16854694056510924,0.3143100063337755,0.3205204187669617,53183,53183,50,0.6436548228179891,0.47275709111471625,0.5424254465568527,39,trial_0039_learning_rate=1.0e-04,completed,[3],0.0001,1e-05,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0040_learning_rate=1.0e-04,cnn,0.16547932469844817,0.3349312437861666,0.3399186620567192,89919,89919,50,0.6932497347183905,0.47275709111471625,0.5815375009409787,49,trial_0040_learning_rate=1.0e-04,completed,[3],0.0001,1e-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0041_learning_rate=1.0e-04,cnn,0.1637857745885849,0.34563205131407343,0.352827765029453,163391,163391,50,0.7306946134869848,0.47275709111471625,0.6140533992178202,52,trial_0041_learning_rate=1.0e-04,completed,[3],0.0001,1e-05,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0042_learning_rate=1.0e-04,cnn,0.16843623197078705,0.3148126495519919,0.32075757599375915,53183,53183,50,0.6409161170393658,0.47275709111471625,0.5407344843300544,39,trial_0042_learning_rate=1.0e-04,completed,[3],0.0001,0.0001,[64]
