Ch_6,Ch_12,Ch_22,Ch_38,Ch_39,Ch_51,Ch_60,Ch_64,Ch_73,Ch_90
22,6,15,31,16,16,3,3,30,25
20,2,20,12,20,21,3,6,20,15
21,14,16,41,27,26,6,8,29,19
16,12,20,25,26,26,8,8,20,11
22,5,34,12,15,14,3,2,14,9
16,3,13,46,21,21,6,7,9,5
15,4,38,27,14,13,5,6,23,16
14,8,25,37,22,24,8,10,24,15
15,3,20,33,14,13,8,10,27,14
18,13,26,19,9,8,2,5,20,21
25,11,31,22,6,6,3,11,31,27
13,3,25,40,16,15,4,9,26,19
7,5,31,47,10,10,13,9,24,16
13,1,29,38,15,15,7,9,21,18
14,1,27,40,12,12,5,10,21,16
15,4,22,32,10,8,9,9,25,16
14,4,26,39,14,12,6,7,19,13
14,7,39,27,10,10,5,6,14,6
21,8,36,25,15,15,7,4,16,10
20,3,22,28,16,17,6,14,21,12
12,2,17,24,12,12,10,10,24,17
11,2,22,53,20,21,9,15,19,8
18,7,24,37,15,15,5,5,29,14
20,6,30,32,10,10,7,3,22,13
16,5,21,55,12,13,4,10,21,12
11,3,26,20,12,12,4,7,17,11
15,3,31,22,13,11,5,4,20,10
12,1,31,22,21,19,6,7,17,8
19,6,26,47,13,13,14,12,21,11
18,0,24,61,19,20,7,7,21,12
19,5,34,51,5,5,6,4,21,16
17,2,27,44,9,10,6,5,24,16
15,3,23,47,13,14,7,8,30,12
20,12,17,26,14,13,1,11,17,11
18,6,21,30,9,9,5,6,18,15
19,2,20,28,13,11,4,9,21,12
6,3,28,50,19,19,9,15,13,8
5,3,16,45,11,10,1,4,26,17
11,9,23,41,10,10,6,4,24,9
7,4,21,64,10,10,12,9,22,10
5,3,22,37,9,9,4,4,22,9
20,9,17,33,11,12,9,9,17,11
18,7,17,32,15,14,4,8,26,21
14,2,33,21,13,12,7,6,17,12
13,1,26,51,14,16,7,7,22,14
17,3,17,28,10,10,1,9,26,11
23,5,29,35,10,10,5,18,20,10
14,7,21,35,14,13,6,9,18,8
20,11,32,45,12,12,7,9,18,3
15,2,23,38,17,17,7,9,21,16
16,7,25,30,12,13,1,4,19,13
23,10,34,33,20,21,2,7,14,8
34,7,35,32,7,7,3,9,23,17
13,13,31,37,19,19,5,11,23,11
14,13,30,39,21,20,8,27,34,15
14,9,30,24,12,12,3,19,22,16
14,3,24,20,19,17,6,16,29,17
19,6,30,19,25,22,5,22,27,13
26,3,20,24,29,27,8,14,17,10
13,2,27,12,16,16,4,11,21,12
13,4,27,34,19,18,7,11,16,6
18,2,28,35,23,22,6,26,10,4
25,6,31,43,27,26,6,11,16,8
16,5,28,20,19,17,1,10,20,10
16,7,46,25,18,16,2,16,24,13
8,3,28,5,22,22,5,5,22,10
13,1,22,24,29,29,7,10,26,16
13,10,28,20,21,21,6,3,32,17
19,14,23,17,24,23,3,7,16,8
12,5,25,25,25,20,2,8,26,10
19,16,37,14,19,20,5,9,25,12
7,5,36,20,31,31,0,5,21,14
6,12,30,41,17,18,7,6,25,9
7,2,30,39,17,18,3,3,30,10
16,12,31,14,29,29,2,9,26,16
17,11,36,13,19,21,3,13,27,11
11,3,19,36,25,28,6,13,21,10
6,7,27,34,25,24,7,12,12,9
22,10,33,14,24,25,5,22,17,13
11,3,32,27,21,21,7,9,26,7
15,4,23,14,20,18,1,7,16,6
16,9,30,15,28,27,1,8,15,13
19,8,29,6,17,16,9,10,24,20
20,8,32,8,22,20,5,17,29,12
13,1,31,19,23,24,1,12,24,6
16,1,23,25,20,19,5,9,23,13
8,0,34,30,17,17,6,3,25,14
12,12,28,28,25,23,5,10,34,12
6,10,25,18,25,20,4,6,17,7
10,3,27,46,27,29,7,5,16,12
10,3,18,31,18,16,8,7,10,5
17,7,18,15,24,25,9,4,18,16
27,5,22,52,23,18,9,4,16,8
12,4,22,39,25,25,8,6,27,17
7,5,20,12,12,11,2,5,14,8
12,5,23,18,21,23,6,6,20,11
22,14,22,32,24,23,5,5,24,12
21,25,28,10,24,26,4,4,29,14
10,4,20,20,19,20,6,7,26,10
15,15,11,15,19,17,5,2,21,14
23,27,27,20,33,32,6,9,18,12
18,9,22,17,22,19,1,7,14,10
7,5,14,41,17,16,3,6,20,13
14,22,27,17,17,16,4,3,19,12
17,32,24,7,24,25,3,4,16,9
10,14,20,23,24,23,6,3,22,11
10,2,19,31,20,18,8,7,25,17
14,13,11,30,17,13,12,6,25,11
11,12,24,27,15,14,8,6,36,19
8,24,20,29,22,21,5,9,18,12
11,13,25,24,19,16,1,11,31,13
17,29,21,11,25,23,4,5,21,10
12,20,27,39,14,12,3,7,12,7
10,15,19,24,10,12,1,6,19,10
9,29,17,36,30,27,8,6,19,9
9,2,12,38,16,16,6,2,23,12
21,19,25,8,15,15,0,13,23,13
19,26,29,1,20,19,4,6,12,4
28,41,25,19,18,17,10,9,24,9
31,24,23,13,17,15,7,4,14,11
15,10,16,10,18,16,2,7,12,12
35,27,14,24,29,25,3,5,18,12
18,9,17,4,15,12,1,3,20,15
11,9,20,9,21,20,3,7,18,12
9,21,34,24,20,19,6,7,23,18
7,9,10,44,18,19,7,13,31,18
9,8,23,27,19,18,1,8,22,11
9,12,11,32,22,20,1,1,21,12
18,9,20,7,25,23,3,5,23,13
15,11,12,17,26,26,4,5,21,8
16,15,27,25,21,19,6,6,15,9
18,11,17,14,12,11,7,5,10,6
17,20,27,33,21,19,6,4,16,8
22,24,35,17,19,17,4,5,28,12
26,15,29,11,13,14,3,1,19,8
8,5,28,8,17,16,3,8,26,12
18,17,24,3,18,17,7,5,17,4
26,22,32,16,22,22,8,3,23,7
9,17,31,13,25,23,7,9,14,5
15,7,25,8,21,17,3,8,23,11
17,10,25,23,24,22,7,14,14,4
21,10,29,19,23,19,10,20,15,6
11,2,22,18,22,21,3,7,24,12
15,3,23,19,21,17,4,13,24,12
6,8,18,40,27,33,11,22,34,14
5,11,33,49,14,14,5,6,30,19
14,6,33,22,18,19,0,3,33,16
12,18,27,9,13,11,5,2,24,12
11,17,23,20,19,18,3,4,32,17
12,11,26,33,14,15,10,4,18,9
17,21,17,16,16,15,5,5,26,15
11,14,23,38,17,16,3,13,21,12
9,4,26,29,18,16,5,2,33,17
17,6,26,28,29,31,5,13,31,9
13,15,27,30,19,18,4,5,27,10
10,17,21,42,20,20,3,3,21,13
24,10,24,18,10,9,3,7,14,8
26,11,31,22,15,12,6,12,20,8
19,6,39,8,11,10,4,5,9,5
16,3,32,18,10,9,8,12,11,3
14,2,29,31,17,16,7,11,20,12
12,5,25,24,12,12,6,7,23,13
28,20,25,16,17,14,4,10,16,4
38,16,37,29,14,14,7,5,34,17
38,11,33,13,13,12,5,3,38,15
26,28,23,18,14,12,8,5,25,14
14,12,20,3,12,11,4,3,29,20
22,10,22,3,10,10,4,5,8,4
13,2,18,41,20,20,7,8,21,13
32,3,14,18,14,11,4,11,12,8
12,1,23,19,15,14,6,2,21,12
14,8,26,8,11,10,3,15,20,10
24,2,28,11,21,23,7,3,25,14
16,9,28,5,10,8,8,7,23,15
18,7,26,6,11,11,5,2,16,11
28,5,23,15,19,19,5,9,20,15
20,3,23,7,10,10,2,9,25,11
28,14,28,16,14,14,3,7,22,8
22,11,29,1,12,12,3,6,35,17
14,0,22,20,10,9,7,14,28,18
11,3,19,16,11,11,6,10,22,9
24,8,19,6,17,17,4,8,17,6
22,4,31,14,16,16,4,7,19,6
11,0,30,33,14,13,3,8,27,14
15,4,33,8,11,10,4,6,15,8
22,10,25,0,14,14,8,8,15,8
13,4,21,16,11,11,10,4,22,14
20,14,13,14,11,10,3,8,26,14
15,10,30,8,18,18,6,5,25,15
20,15,30,11,13,13,9,11,24,13
18,10,37,10,11,13,9,6,18,9
12,5,28,19,15,16,6,10,15,9
14,5,32,21,22,24,12,6,20,8
15,3,33,17,12,11,8,7,22,13
21,6,35,22,12,12,7,5,24,11
13,1,39,25,19,19,5,6,14,10
19,1,28,20,12,12,5,4,23,14
5,1,38,36,21,20,10,9,25,15
16,3,27,11,6,4,3,8,20,7
14,0,24,18,17,17,7,4,13,5
13,2,44,27,11,10,2,8,16,10
8,1,32,12,17,17,3,7,21,10
16,2,17,10,14,14,5,4,28,11
22,4,25,15,12,10,3,2,10,5
29,16,39,15,15,14,3,7,11,5
14,26,30,46,16,14,11,22,16,11
14,8,30,25,13,13,5,26,14,6
24,9,24,29,18,17,12,21,20,13
9,2,17,8,15,15,6,17,16,15
10,6,24,23,12,11,4,11,30,13
21,7,25,30,16,15,9,12,24,15
19,10,20,40,15,15,10,15,21,10
32,7,31,13,22,20,6,19,14,6
20,6,30,18,20,18,2,9,12,7
12,5,27,35,17,16,4,7,19,8
15,11,27,26,14,12,4,9,15,10
14,1,31,33,16,16,5,9,21,9
18,5,15,27,18,18,7,18,20,13
11,5,15,29,20,17,9,9,20,7
21,3,23,36,13,13,5,17,16,6
23,17,26,36,20,19,8,12,25,14
32,29,13,24,19,20,7,4,13,11
24,11,19,24,19,20,7,12,18,7
12,11,20,18,23,23,3,9,18,6
9,5,25,30,20,17,6,5,10,1
12,9,30,20,13,12,4,4,11,3
14,5,28,33,31,31,8,9,9,3
15,1,23,37,22,21,5,8,15,8
20,3,22,15,11,8,4,9,12,5
25,19,22,16,20,17,4,7,19,13
28,7,15,18,25,25,5,4,18,9
19,19,18,32,25,27,11,5,29,13
21,14,18,28,24,23,9,7,19,11
11,19,17,14,17,17,3,16,14,9
19,11,26,30,22,24,5,11,13,8
10,12,36,22,15,15,8,22,28,15
15,3,25,19,17,15,5,6,15,4
9,6,17,11,9,9,9,1,9,7
31,11,24,18,22,20,3,13,14,3
25,27,21,16,29,23,7,7,29,11
22,22,26,14,22,20,6,11,30,11
25,7,17,18,26,24,8,16,28,14
20,29,22,11,21,21,7,6,18,11
12,20,26,24,17,15,3,6,12,9
17,13,18,15,15,14,4,14,14,6
29,12,31,9,20,18,4,6,14,6
19,13,29,11,19,19,8,6,20,9
16,11,19,18,21,19,4,11,13,9
13,3,26,24,18,19,10,17,14,5
16,4,13,15,19,19,7,11,13,9
18,7,23,16,22,18,5,13,11,6
12,11,14,10,19,18,1,10,14,5
19,17,32,17,28,28,2,5,17,9
27,6,26,16,22,21,5,4,18,9
24,4,22,23,26,25,4,12,17,8
20,10,27,24,20,18,8,7,9,5
27,7,24,46,26,24,10,11,32,8
25,6,18,39,18,15,11,7,15,8
25,8,16,20,14,13,4,6,14,3
22,20,28,28,25,25,8,12,14,10
27,11,22,15,22,21,5,5,24,14
28,5,8,25,20,20,4,20,29,14
14,4,19,35,16,18,5,7,22,13
16,0,25,24,14,14,6,13,14,7
14,18,30,50,24,25,5,17,21,8
25,21,34,19,13,14,6,4,16,10
11,5,31,19,9,8,3,4,13,6
17,1,26,9,11,10,0,6,18,6
14,0,25,8,13,12,2,6,14,10
13,12,27,35,22,21,6,6,12,3
11,6,30,11,11,11,4,7,14,7
19,8,30,21,14,11,4,5,18,4
29,1,27,16,19,15,3,8,11,5
20,2,21,10,5,4,4,7,9,4
11,2,25,21,10,9,1,20,9,6
24,5,34,13,17,14,6,10,24,10
17,1,28,31,16,15,5,22,22,6
13,1,26,42,15,15,8,9,16,6
23,2,30,46,14,13,13,6,22,8
23,6,24,6,18,18,3,15,18,10
24,3,26,23,15,15,6,8,10,12
18,0,25,38,15,16,3,9,9,7
16,1,32,46,11,10,3,7,15,7
21,5,19,10,17,17,1,6,19,5
33,11,28,5,15,15,4,10,13,10
26,10,28,35,8,9,4,10,25,18
24,13,29,15,10,9,1,13,32,19
26,12,32,19,16,11,7,17,32,20
25,16,42,6,15,13,7,18,24,14
24,8,22,15,8,8,6,12,38,22
22,19,44,1,15,14,0,9,25,11
14,25,30,1,15,13,6,5,28,9
20,22,30,8,10,9,3,7,29,16
24,26,27,8,22,21,2,11,28,15
15,4,31,9,8,8,3,3,23,14
14,12,25,5,13,12,7,8,12,6
26,19,38,6,11,10,0,13,19,9
23,19,37,12,12,11,3,10,12,7
21,27,40,10,18,13,5,10,18,9
24,15,18,27,16,13,0,9,28,11
14,3,27,35,12,12,3,9,23,11
27,8,19,22,10,8,4,8,24,17
31,7,16,20,13,11,2,3,19,11
32,5,35,50,20,18,8,6,30,22
14,6,22,42,19,19,9,7,15,9
18,23,32,34,17,16,19,7,32,14
17,0,20,29,16,15,4,5,12,12
12,1,12,12,15,15,5,5,19,17
16,1,16,19,23,21,2,6,15,10
14,7,12,29,19,16,6,7,19,11
21,12,18,25,18,18,6,10,15,7
23,14,23,11,16,17,2,3,15,4
19,10,27,21,20,18,4,9,18,7
29,4,21,24,33,29,4,17,15,2
15,1,26,4,11,8,3,6,22,7
16,17,25,14,24,23,4,5,10,7
26,8,29,5,37,36,8,6,13,9
20,13,29,8,26,24,5,5,14,6
21,11,30,13,29,28,5,8,9,4
25,17,37,20,7,5,6,8,14,3
23,6,26,15,6,3,5,6,23,9
12,3,24,12,20,17,0,4,20,8
11,4,27,25,17,16,3,7,27,13
23,8,25,16,9,9,4,11,23,13
18,16,18,19,18,17,7,11,23,8
15,16,17,38,15,13,4,17,28,14
21,9,18,22,10,10,3,8,35,16
23,13,22,13,22,18,5,3,31,16
28,33,25,9,9,9,2,5,20,16
17,13,17,2,18,17,1,6,18,10
14,9,20,8,14,10,6,10,17,11
18,6,21,15,14,14,8,20,15,6
13,8,24,10,15,13,4,19,31,14
15,7,28,22,28,29,6,12,9,2
14,19,36,17,13,13,9,8,16,7
24,7,25,29,15,15,5,6,25,11
22,13,31,23,9,9,3,5,28,13
13,11,32,29,25,22,4,7,15,8
18,13,29,20,10,10,2,10,15,10
23,7,26,39,14,15,6,12,16,10
18,2,26,15,19,18,4,15,16,6
16,3,17,17,16,14,4,15,27,18
17,5,23,12,17,16,3,19,26,9
19,9,25,22,18,17,6,27,20,10
22,7,28,30,18,18,5,27,40,19
14,13,37,52,25,25,8,3,26,9
12,16,34,19,18,18,3,21,21,5
18,13,26,23,17,17,2,14,28,12
19,4,23,11,28,26,3,6,28,10
16,18,24,16,21,20,4,13,17,6
17,12,29,9,19,18,4,9,20,6
17,3,20,14,23,20,6,12,20,8
17,11,29,15,25,26,3,15,19,7
16,7,25,12,21,20,5,9,16,9
11,8,21,12,24,20,1,6,18,3
8,4,30,34,24,23,9,8,11,5
15,14,29,16,19,19,7,7,18,8
8,13,30,23,23,20,2,5,23,9
16,13,26,21,28,26,4,18,12,8
11,18,27,11,27,24,4,8,8,5
4,5,31,20,15,12,6,13,28,13
15,6,31,17,24,21,4,15,20,10
21,15,37,20,24,27,1,10,16,10
20,11,41,20,21,19,9,6,9,4
14,21,29,11,21,20,4,6,17,10
21,17,35,12,25,24,3,8,18,10
21,40,29,13,27,24,7,6,18,6
16,16,28,14,23,20,3,3,15,5
10,15,31,21,24,23,5,10,20,9
12,5,30,34,24,22,5,3,10,2
16,9,41,27,23,22,7,7,19,11
16,21,19,17,18,18,4,6,21,10
19,22,24,2,19,20,2,6,20,12
12,24,24,26,30,33,3,6,31,11
15,6,24,20,19,20,8,4,12,7
21,7,35,13,25,22,1,3,20,12
10,32,34,26,28,26,7,14,12,8
17,19,32,15,23,22,3,6,28,11
9,14,23,8,23,24,7,6,11,5
10,10,22,24,24,22,6,3,12,8
17,23,35,32,18,18,9,1,23,7
23,11,21,10,29,29,4,7,13,6
28,4,29,29,28,26,5,9,10,2
30,13,20,37,19,22,5,7,25,11
10,12,15,19,20,20,0,9,19,6
16,15,26,27,23,21,11,8,16,7
17,6,26,4,27,23,11,6,17,11
11,2,27,9,19,20,4,7,9,8
18,1,30,11,24,21,2,8,20,12
8,0,16,19,21,22,3,6,30,6
13,11,19,15,21,20,1,12,26,10
29,26,18,11,16,18,3,14,23,12
18,17,14,7,18,17,4,9,18,12
14,16,25,6,17,16,3,10,24,11
19,10,25,28,21,18,7,10,17,7
11,0,19,7,23,20,2,4,20,13
18,4,24,21,17,15,3,10,16,8
12,3,30,28,21,20,3,4,14,6
14,7,23,31,18,18,2,11,16,9
15,2,19,8,22,25,2,4,20,13
9,9,17,22,22,18,5,6,26,14
18,6,22,9,23,19,2,7,21,12
13,2,27,20,24,23,3,15,17,10
18,4,19,15,24,23,3,5,8,4
16,8,28,29,23,28,9,13,12,4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
