run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,_arch
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0030_history=10_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,cnn,0.17203767669200898,0.21928926906464463,0.22192165029879818,229311,229311,42,0.6414059028627133,0.47275709111471625,0.41059729558694935,14,0.3815135061740875,0.22461764514446259,1,trial_0030_history=10_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0031_history=10_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,cnn,0.17032509231567383,0.2267788617780721,0.22964723634870746,348607,348607,34,0.6568089793080671,0.47275709111471625,0.4320455345377957,17,0.3815135061740875,0.2334737926721573,1,trial_0031_history=10_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0032_history=10_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,cnn,0.16899159693717958,0.22857841950055502,0.23168113746565264,646847,646847,28,0.6316903192613565,0.47275709111471625,0.4447495823814725,17,0.3815135061740875,0.23822025954723358,2,trial_0032_history=10_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0033_history=10_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,cnn,0.1717801524400711,0.22766241312124058,0.22907755719356682,294847,294847,36,0.6602280020142625,0.47275709111471625,0.429972268155105,15,0.3815135061740875,0.23383386433124542,1,trial_0033_history=10_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0034_history=10_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,cnn,0.16816954946517945,0.2360253313739573,0.23746558847195734,512447,512447,39,0.6559864167565564,0.47275709111471625,0.44611552709215796,18,0.3815135061740875,0.24428890645503998,2,trial_0034_history=10_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0035_history=10_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,cnn,0.17097753179073333,0.22131504037865124,0.21813522928153706,98303,98303,50,0.6155992090761816,0.47275709111471625,0.39269204977276334,13,0.3815135061740875,0.22623899579048157,1,trial_0035_history=10_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0036_history=10_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,cnn,0.17033929097652437,0.22380964054687416,0.22667532874495994,141567,141567,50,0.627780405610044,0.47275709111471625,0.41114232622481894,12,0.3815135061740875,0.23018616437911987,1,trial_0036_history=10_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0037_history=10_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,cnn,0.16874908244609832,0.22926441983759435,0.23026297873367763,249727,249727,50,0.6128597747905968,0.47275709111471625,0.4242222345410204,18,0.3815135061740875,0.23811569809913635,2,trial_0037_history=10_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0038_history=10_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,cnn,0.16984973692893982,0.22558228899724977,0.22676987632477955,114687,114687,50,0.6433990278052445,0.47275709111471625,0.41514602344581314,13,0.3815135061740875,0.23119579255580902,1,trial_0038_history=10_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0039_history=10_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,cnn,0.16775902128219605,0.23249467540191696,0.23584271814384664,182527,182527,50,0.625859553545519,0.47275709111471625,0.4269260807006314,19,0.3815135061740875,0.2408178299665451,3,trial_0039_history=10_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}"
