config_id,batch_avg_test_loss_mean,batch_avg_test_loss_sem,batch_avg_test_loss_count,batch_avg_test_corr_mean,batch_avg_test_corr_sem,batch_avg_test_corr_count,all_test_fve_mean,all_test_fve_sem,all_test_fve_count,AR_FVE_mean,AR_FVE_sem,AR_FVE_count,AR_test_correlation_mean,AR_test_correlation_sem,AR_test_correlation_count,best_val_corr_mean,best_val_corr_sem,best_val_corr_count,total_params_mean,total_params_sem,total_params_count,trainable_params_mean,trainable_params_sem,trainable_params_count,epochs_trained_mean,epochs_trained_sem,epochs_trained_count,mean_pattern_corr_mean,mean_pattern_corr_sem,mean_pattern_corr_count,history_mean,history_sem,history_count,loo_avg_mean_corr_mean,loo_avg_mean_corr_sem,loo_avg_mean_corr_count,model_avg_mean_corr_mean,model_avg_mean_corr_sem,model_avg_mean_corr_count,neurons_model_beats_loo_avg_mean,neurons_model_beats_loo_avg_sem,neurons_model_beats_loo_avg_count,loo_temporal_mean_corr_mean,loo_temporal_mean_corr_sem,loo_temporal_mean_corr_count,all_test_corr_mean,all_test_corr_sem,all_test_corr_count,neurons_model_beats_loo_temporal_mean,neurons_model_beats_loo_temporal_sem,neurons_model_beats_loo_temporal_count,wall_time_s_mean,wall_time_s_sem,wall_time_s_count
030c5b1084,0.16893761217594147,6.122732162475164e-05,2,0.13558437035850635,0.0015682277038373896,2,0.02100476480665661,0.0013845600779094393,2,0.018272515800264146,0.0016902453369564488,2,0.13074670732021332,0.002584517002105713,2,0.14286673408152445,0.0013144590512585708,2,330559.0,0.0,2,330559.0,0.0,2,19.5,1.5,2,0.5108569050448877,0.005597303403488518,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.36135225565771667,0.00565392443811541,2,10.5,0.5,2,0.31855225563049316,0.0,2,0.14124959707260132,0.002290487289428711,2,1.0,0.0,2,333.0,8.100000000000023,2
031734ebc1,0.16619006991386415,0.00014909064769746266,2,0.1502919209130557,0.0015483721143904408,2,0.025885213935185992,0.0008315935967460504,2,0.01606943304576571,0.0006701766498505121,2,0.12218780070543289,0.0007774084806442261,2,0.1606631833766975,0.0004766425600291335,2,238143.0,0.0,2,238143.0,0.0,2,45.5,4.5,2,0.5643064245286271,0.0019512477406499473,2,5.0,0.0,2,0.45456832695830385,0.0,2,0.40603001517591136,0.0017494864528636023,2,13.5,0.5,2,0.31855225563049316,0.0,2,0.15717018395662308,0.0009751841425895691,2,2.0,0.0,2,423.25,20.94999999999999,2
031f335e59,0.1681898021697998,5.7431817054753864e-05,2,0.14043734538979724,0.0005867830256988948,2,0.0250484962312002,0.00030710299809773734,2,0.02119497363529508,0.00048172568518017964,2,0.13305240124464035,0.0008032843470573425,2,0.14590845425281168,0.0008176400498794353,2,238143.0,0.0,2,238143.0,0.0,2,30.5,0.5,2,0.5198299958355181,0.006776561934393244,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.36172688239016715,0.007655194454768366,2,9.5,0.5,2,0.31855225563049316,0.0,2,0.14593033492565155,0.0008954554796218872,2,1.0,0.0,2,415.95000000000005,0.6499999999999915,2
0327528aba,0.15638900989294052,9.132128953934227e-05,2,0.20456144410938068,0.0012758790633278227,2,0.05007298598213801,0.0003172575481354221,2,-0.011395307760390024,3.0087100134955705e-05,2,0.05722566694021225,0.0026679597795009613,2,0.20873147473353187,0.00046560065901139064,2,90687.0,0.0,2,90687.0,0.0,2,50.0,0.0,2,0.6249586730010392,0.003300893124110388,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.5053077937532366,0.0010335051106642734,2,39.0,0.0,2,0.31855225563049316,0.0,2,0.2116653099656105,0.001215122640132904,2,7.0,0.0,2,458.25,1.75,2
033d8fa03c,0.1686419443488121,0.0007478459477424648,2,0.1381268531271534,0.0013513506744113266,2,0.023749942344332496,0.0005285110738542367,2,0.020651174916161433,0.0001968476507398795,2,0.13228370994329453,0.0011547580361366272,2,0.14304981012684964,0.002021708655904224,2,238143.0,0.0,2,238143.0,0.0,2,30.0,6.0,2,0.5009857515461209,0.010704243204293279,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.3583207641281114,0.007058028982849948,2,11.0,0.0,2,0.31855225563049316,0.0,2,0.1438225656747818,0.0017875432968139648,2,1.0,0.0,2,292.9,26.90000000000002,2
0353de7767,0.16809190869331359,7.84182548522333e-06,2,0.13795288370460318,0.0007711764218608155,2,0.024113616300007655,0.00022989511489868164,2,0.02213654016691541,0.00017274703298296185,2,0.13482626527547836,0.00020023435354232788,2,0.14647945389207512,0.001961960819840264,2,94527.0,0.0,2,94527.0,0.0,2,37.5,3.5,2,0.5243027538129752,0.005535935279467247,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.3690732869769583,0.001348474673570521,2,10.0,0.0,2,0.31855225563049316,0.0,2,0.14339998364448547,0.0004626810550689697,2,1.0,0.0,2,376.1,14.59999999999998,2
03e70c4db5,0.15123519921302797,3.8500308990489784e-05,2,0.25620615512667055,0.0007201969429467964,2,0.08062520008238536,0.00039540302185785137,2,-0.010775478586318001,0.0008574265336233466,2,0.06594575941562653,0.0029229149222373962,2,0.26676459778282824,0.0007025250251011389,2,238143.0,0.0,2,238143.0,0.0,2,50.0,0.0,2,0.7276777040603593,0.0005269261174139783,2,2.0,0.0,2,0.45456832695830385,0.0,2,0.5830742312768773,0.0006894910375592478,2,51.5,0.5,2,0.31855225563049316,0.0,2,0.2662334442138672,0.000652700662612915,2,13.0,1.0,2,577.75,3.3500000000000227,2
03f24c4b1f,0.1684816451072693,0.00013021361827850186,2,0.138112350676908,0.0015211557915128793,2,0.024185712375338113,0.00032108738308861146,2,0.02109753659793309,0.0005351707102760443,2,0.13253450393676758,0.0015808939933776855,2,0.14509003342504023,0.0001375365656110794,2,239807.0,0.0,2,239807.0,0.0,2,38.5,0.5,2,0.5183456635993817,0.008366832327250995,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.3656534317797166,0.00022949011167239242,2,11.0,0.0,2,0.31855225563049316,0.0,2,0.14432258158922195,0.0013321563601493835,2,1.0,0.0,2,470.55,1.9499999999999886,2
04a432b2fd,0.15118408620357515,2.9338955879219808e-05,2,0.2550927178375601,0.0007703775859555506,2,0.07925685814448766,0.000794567759074858,2,-0.008763941507490854,0.0024296452128697954,2,0.08370240405201912,0.0017297826707363129,2,0.264488395294743,0.002224886866631526,2,143679.0,0.0,2,143679.0,0.0,2,50.0,0.0,2,0.7454379010227827,0.00027027888531974686,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.6081886545706369,0.00022547557002250418,2,55.0,1.0,2,0.31855225563049316,0.0,2,0.26549674570560455,0.0007855743169784546,2,14.0,0.0,2,513.45,0.25,2
04b91b321a,0.14934425216913222,9.783262014389366e-05,2,0.2606351323426176,0.0006029838557752853,2,0.08248899853418744,0.00036178127167717233,2,-0.014947778175747585,0.0003046066988082164,2,0.06205734610557556,0.0001724138855934143,2,0.2701066739247613,1.7442021397751084e-06,2,321727.0,0.0,2,321727.0,0.0,2,50.0,0.0,2,0.7341298261836255,0.002980956919002936,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.5963144511589211,0.0018593069436662057,2,52.0,1.0,2,0.31855225563049316,0.0,2,0.27103762328624725,0.00010891258716583252,2,15.5,0.5,2,656.25,2.5499999999999545,2
