run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0024_history=4,cnn,0.16929247963428498,0.2345255074435622,0.23574620364297175,217151,217151,48,0.6987236524103063,0.47275709111471625,0.5052397206161391,33,0.3815135061740875,0.24208806455135345,1,trial_0024_history=4,completed,[5],0.0001,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0025_history=5,cnn,0.17163371300697328,0.21567901728502942,0.21470771842537242,217151,217151,40,0.6617745425874098,0.47275709111471625,0.4347637582921037,18,0.3815135061740875,0.22163565456867218,1,trial_0025_history=5,completed,[5],0.0001,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0026_history=10,cnn,0.17311256492137908,0.20734259901970242,0.21009723457759996,217151,217151,43,0.6353026910365519,0.47275709111471625,0.4194374350402088,13,0.3815135061740875,0.21329203248023987,1,trial_0026_history=10,completed,[5],0.0001,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0027_history=20,cnn,0.17466936087608337,0.20136478763213295,0.20188657324213832,217151,217151,41,0.6084007825228929,0.47275709111471625,0.41238236063740186,11,0.3815135061740875,0.20746487379074097,1,trial_0027_history=20,completed,[5],0.0001,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0028_history=1,cnn,0.16100887370109557,0.28245472746725736,0.2895276776450777,351551,351551,33,0.7446602471052173,0.47275709111471625,0.6143934782434626,54,0.3815135061740875,0.2932721674442291,6,trial_0028_history=1,completed,[10],0.0,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0029_history=2,cnn,0.16286842393875123,0.2734576092654227,0.28144363919530413,351551,351551,35,0.7508431640378312,0.47275709111471625,0.6176527356199655,55,0.3815135061740875,0.2839052379131317,4,trial_0029_history=2,completed,[10],0.0,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0030_history=3,cnn,0.1687060101032257,0.23445426186498278,0.2380064807972244,351551,351551,38,0.6721325143164933,0.47275709111471625,0.49926165429957337,30,0.3815135061740875,0.24321357905864716,2,trial_0030_history=3,completed,[10],0.0,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0031_history=4,cnn,0.16890479743480682,0.22998557315221804,0.23393617077652215,351551,351551,34,0.6857897530174042,0.47275709111471625,0.5125170593732518,32,0.3815135061740875,0.23926971852779388,1,trial_0031_history=4,completed,[10],0.0,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0032_history=5,cnn,0.17171219730377196,0.21412793853710463,0.21475139785475175,351551,351551,36,0.6575034374560969,0.47275709111471625,0.4512859088028689,21,0.3815135061740875,0.2220226377248764,1,trial_0032_history=5,completed,[10],0.0,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0033_history=10,cnn,0.1728477463722229,0.20733084899271392,0.2111140564682326,351551,351551,36,0.633250445168841,0.47275709111471625,0.4341200484843947,16,0.3815135061740875,0.21534182131290436,1,trial_0033_history=10,completed,[10],0.0,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0034_history=20,cnn,0.17461353015899658,0.19649377926911524,0.20052129955850417,351551,351551,33,0.611425547050666,0.47275709111471625,0.4230367257588649,15,0.3815135061740875,0.20406927168369293,1,trial_0034_history=20,completed,[10],0.0,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0035_history=1,cnn,0.16125287008285522,0.28118801596510934,0.28977139447369715,351551,351551,35,0.7495089508835889,0.47275709111471625,0.616217166661322,53,0.3815135061740875,0.29159116744995117,6,trial_0035_history=1,completed,[10],0.0001,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0036_history=2,cnn,0.16287166607379913,0.27341241445033704,0.2823089017809878,351551,351551,35,0.7529070255418348,0.47275709111471625,0.6168774359376714,54,0.3815135061740875,0.28458479046821594,4,trial_0036_history=2,completed,[10],0.0001,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0037_history=3,cnn,0.16846083796024322,0.23615556833768683,0.23775273566138486,351551,351551,36,0.6759182647667311,0.47275709111471625,0.5066281777172064,31,0.3815135061740875,0.2450592964887619,2,trial_0037_history=3,completed,[10],0.0001,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0038_history=4,cnn,0.16990586328506468,0.2264298172986458,0.23250961329369066,351551,351551,32,0.6751784100713051,0.47275709111471625,0.5036608152496485,31,0.3815135061740875,0.23556602001190186,1,trial_0038_history=4,completed,[10],0.0001,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0039_history=5,cnn,0.17150160002708434,0.21350227440534472,0.21309045607033275,351551,351551,34,0.6387105705780867,0.47275709111471625,0.44523756121962216,19,0.3815135061740875,0.22193481028079987,1,trial_0039_history=5,completed,[10],0.0001,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0040_history=10,cnn,0.17262240028381348,0.20818719403711558,0.2132048565026364,351551,351551,35,0.6309988484887642,0.47275709111471625,0.43377149113685887,17,0.3815135061740875,0.21596194803714752,1,trial_0040_history=10,completed,[10],0.0001,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0041_history=20,cnn,0.17442622780799866,0.19850507251653177,0.20035996332382625,351551,351551,35,0.6128779977260459,0.47275709111471625,0.42335112161714417,15,0.3815135061740875,0.2061186581850052,1,trial_0041_history=20,completed,[10],0.0001,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0042_history=1,cnn,0.16380000829696656,0.26565152399395886,0.27393979524944967,620351,620351,27,0.7102368818517598,0.47275709111471625,0.5974528819158589,48,0.3815135061740875,0.2769470512866974,5,trial_0042_history=1,completed,[20],0.0,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0043_history=2,cnn,0.1648085182905197,0.2630428330553656,0.27034699787043015,620351,620351,29,0.7104274726651842,0.47275709111471625,0.597461713266466,49,0.3815135061740875,0.2740240693092346,4,trial_0043_history=2,completed,[20],0.0,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0044_history=3,cnn,0.17077474153041838,0.22199671512505847,0.22878624763844915,620351,620351,30,0.6331545187845145,0.47275709111471625,0.48841402571421805,28,0.3815135061740875,0.2315009981393814,2,trial_0044_history=3,completed,[20],0.0,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0045_history=4,cnn,0.1715383962392807,0.21851500730181506,0.2246779926925852,620351,620351,31,0.6436876848689258,0.47275709111471625,0.49433431048619453,29,0.3815135061740875,0.22888684272766113,1,trial_0045_history=4,completed,[20],0.0,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0046_history=5,cnn,0.17434748685359955,0.20136241664495844,0.2101755875285718,620351,620351,32,0.5979167786067738,0.47275709111471625,0.4356092694473926,21,0.3815135061740875,0.2114936262369156,1,trial_0046_history=5,completed,[20],0.0,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0047_history=10,cnn,0.17435389363765716,0.1987582215808347,0.20548218703819643,620351,620351,29,0.5865020145123793,0.47275709111471625,0.42693904704282654,19,0.3815135061740875,0.20901095867156982,1,trial_0047_history=10,completed,[20],0.0,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0048_history=20,cnn,0.17522603464126588,0.19559234551532412,0.20185790169378445,620351,620351,30,0.5818277723868882,0.47275709111471625,0.4148654638476531,19,0.3815135061740875,0.2050631046295166,1,trial_0048_history=20,completed,[20],0.0,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0049_history=1,cnn,0.1632781569957733,0.2659068543023256,0.2744937371181124,620351,620351,25,0.7029711394317354,0.47275709111471625,0.5951507693319235,51,0.3815135061740875,0.27775126695632935,5,trial_0049_history=1,completed,[20],0.0001,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0050_history=2,cnn,0.16467848062515258,0.26154606669301655,0.2702057740108925,620351,620351,25,0.7074615545054174,0.47275709111471625,0.5902340386883632,50,0.3815135061740875,0.2732876241207123,4,trial_0050_history=2,completed,[20],0.0001,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0051_history=3,cnn,0.17095805740356446,0.221493170368516,0.22837667306112414,620351,620351,30,0.6575503973196691,0.47275709111471625,0.5023384179098126,30,0.3815135061740875,0.23195521533489227,2,trial_0051_history=3,completed,[20],0.0001,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0052_history=4,cnn,0.1710457408428192,0.21802335569437684,0.2240402920292997,620351,620351,26,0.6067933525923752,0.47275709111471625,0.4793946431133505,24,0.3815135061740875,0.22809968888759613,2,trial_0052_history=4,completed,[20],0.0001,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0053_history=5,cnn,0.1736836030483246,0.20284861960037143,0.2080526063088022,620351,620351,29,0.5833919431126817,0.47275709111471625,0.42669512472630866,20,0.3815135061740875,0.21282988786697388,1,trial_0053_history=5,completed,[20],0.0001,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0054_history=10,cnn,0.17464301323890685,0.19836038501951866,0.20422348691354927,620351,620351,30,0.5818028266265081,0.47275709111471625,0.42294251936603083,18,0.3815135061740875,0.20814277231693268,1,trial_0054_history=10,completed,[20],0.0001,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0055_history=20,cnn,0.17610379087924957,0.1922696775029074,0.2001956885840223,620351,620351,31,0.5728236341554905,0.47275709111471625,0.40959073370165117,19,0.3815135061740875,0.20152777433395386,1,trial_0055_history=20,completed,[20],0.0001,[256],20
